Stomatepia pindu	YP_009590629
Reticulitermes aculabialis	YP_009128244
Hemiculterella sauvagei	YP_009128149
Symphysodon discus	YP_009127957
Gongylonema pulchrum	YP_009127930
Lanceolaria grayana	YP_009127917
Acerella muscorum	YP_009127085
Anodonta arcaeformis	YP_009127066
Anodonta lucida	YP_009127053
Peirates lepturoides	YP_009127041
Peirates turpis	YP_009127028
Peirates atromaculatus	YP_009127015
Peirates fulvescens	YP_009127002
Chromodoris magnifica	YP_004222202
Apostichopus californicus	YP_009128902
Mimachlamys nobilis	YP_002332285
Meloidogyne chitwoodi	YP_009029722
Prosadenoporus spectaculum	YP_009024204
Nipponnemertes punctatula	YP_009024191
Amphiporus formidabilis	YP_009024178
Damaliscus lunatus	YP_009004013
Beatragus hunteri	YP_009004000
Campylomormyrus compressirostris	YP_008855170
Cuora trifasciata	YP_008815892
Arctica islandica	YP_008758070
Heterosigma akashiwo	YP_005090300
Chattonella marina	YP_003434222
Betta splendens	YP_009123849
Poecilia sphenops	YP_009123823
Parachaenichthys charcoti	YP_009123810
Hypomesus olidus	YP_009123319
Tridacna squamosa	YP_009123001
Gloydius ussuriensis	YP_009122941
Onychostoma gerlachi	YP_009122819
Crossoptilon mantchuricum	YP_009122806
Crossoptilon harmani	YP_009122793
Tachysurus fulvidraco x Tachysurus vachelli	YP_009122680
Pteropus vampyrus	YP_009122654
Sander lucioperca	YP_009122439
Pseudosiderastrea tayami	YP_009122423
Vulpes lagopus	YP_009122387
Ictiobus cyprinellus	YP_009122374
Pavona decussata	YP_009122371
Pseudoplatystoma magdaleniatum	YP_009122346
Hyla tsinlingensis	YP_009122322
Chaetodontoplus mesoleucus	YP_009122046
Apolemichthys kingi	YP_009122033
Mugilogobius chulae	YP_009122020
Southwellina hispida	YP_009121980
Hylaeus dilatatus	YP_009121673
Hyporhamphus intermedius	YP_009121661
Cynopterus brachyotis	YP_009121635
Epinephelus coioides x Epinephelus lanceolatus	YP_009121622
Corvus brachyrhynchos	YP_009121513
Rhinolophus macrotis	YP_009121500
Streptopelia chinensis	YP_009121487
Megalobrama pellegrini	YP_009121474
Neosalanx tangkahkeii	YP_009121435
Phrynocephalus forsythii	YP_009121422
Holacanthus clarionensis	YP_009121409
Centropyge interrupta	YP_009121363
Hylopetes phayrei	YP_009120885
Dremomys rufigenis	YP_009120872
Tylorrhynchus heterochaetus	YP_009107121
Macropodus opercularis	YP_009112150
Trichinella zimbabwensis	YP_009110108
Trichinella papuae	YP_009110095
Trichinella nelsoni	YP_009110082
Trichinella nativa	YP_009110069
Trichinella murrelli	YP_009110056
Trichinella britovi	YP_009110043
Trichinella pseudospiralis	YP_009110030
Amynthas aspergillus	YP_009092408
Falco peregrinus	COX1_15092
Fulvia mutica	YP_008475600
Hongeo koreana	YP_008379179
Frankliniella intonsa	YP_008080649
Equus grevyi	YP_007507179
Paracymoriza prodigalis	YP_007353844
Protobothrops maolanensis	YP_009113991
Acrasis kona	YP_009117116
Stichophanes ningshaanensis	YP_009114590
Accipiter virgatus	YP_009114577
Tegillarca granosa	YP_009114563
Brachyuropus grewingkii	YP_009118040
Urosaurus nigricaudus	YP_009118029
Anoxypristis cuspidata	YP_009118016
Cuneopsis pisciculus	YP_009118001
Brachythemis contaminata	YP_009117989
Pomacanthus imperator	YP_009117977
Pomacanthus xanthometopon	YP_009117964
Schizothorax lantsangensis	YP_009117315
Perna perna	YP_009117172
Triaenodon obesus	YP_009117151
Himantura microphthalma	YP_009117101
Pelotretis flavilatus	YP_009117088
Myrmica scabrinodis	YP_009115382
Formica fusca	YP_009115369
Episoriculus caudatus	YP_009115358
Leptobotia taeniops	YP_009115345
Spinibarbus hollandi	YP_009115332
Parabotia fasciatus	YP_009115319
Parabotia banarescui	YP_009115306
Stercorarius maccormicki	YP_009115255
Rhizomys sinensis	YP_009115244
Wadicosa fidelis	YP_009115230
Devario laoensis	YP_009115218
Macaca nigra	YP_009115165
Sinibrama taeniatus	YP_009115152
Megalobrama amblycephala x Megalobrama hoffmanni	YP_009115139
Termes hospes	YP_009115125
Neocapritermes taracua	YP_009115112
Nasutitermes corniger	YP_009115099
Microcerotermes parvus	YP_009115086
Cubitermes ugandensis	YP_009115073
Coptodon zillii	YP_009115035
Oreochromis variabilis	YP_009115022
Didemnum vexillum	YP_009114980
Neolissochilus hexagonolepis	YP_009114959
Goniurosaurus luii	YP_009114946
Demodex folliculorum	YP_009114835
Demodex brevis	YP_009114822
Sebastes longispinis	YP_009114811
Eulemur rubriventer	YP_009114785
Indri indri	YP_009114746
Palaeopropithecus ingens	YP_009114681
Megaladapis edwardsi	YP_009114655
Propithecus edwardsi	YP_009114629
Varecia variegata	YP_009114616
Propithecus diadema	YP_009114603
Tyrophagus putrescentiae	YP_009114537
Brachirus orientalis	YP_009114526
Dicentrarchus punctatus	YP_009114417
Dicentrarchus labrax	YP_009114404
Garrulax perspicillatus	YP_009114326
Luscinia cyanura	YP_009114313
Phoenicurus auroreus	YP_009114300
Euphaea ornata	YP_009114137
Euphaea decorata	YP_009114124
Euphaea yayeyamana	YP_009114111
Platemys platycephala	YP_009113978
Emydura subglobosa	YP_009113952
Elseya branderhorsti	YP_009113939
Vertigo pusilla	YP_009113911
Pupilla muscorum	YP_009113898
Gastrocopta cristata	YP_009113885
Lamprotula coreana	YP_009113491
Myospalax psilurus	YP_009113480
Hynobius nigrescens	YP_009113467
Hynobius kimurae	YP_009113454
Chitra indica	YP_009113402
Cyclemys pulchristriata	YP_009113389
Dendrophyllia cribrosa	YP_009113386
Tubastraea coccinea	YP_009113373
Heosemys depressa	YP_009113350
Anisakis berlandi	YP_009113342
Perca fluviatilis	YP_009118167
Sibogagorgia cauliflora	YP_009115608
Uvarovites inflatus	YP_009116538
Lagocephalus suezensis	YP_009116513
Atule mate	YP_009116422
Bangana decora	YP_009116409
Colletes gigas	YP_009116296
Pseudocarcharias kamoharai	YP_009116271
Vanmanenia pingchowensis	YP_009116232
Sorubim cuspicaudus	YP_009116136
Taeniura lymma	YP_009116125
Portunus pelagicus	YP_009116110
Himantura gerrardi	YP_009116099
Temnopleurus hardwickii	YP_009115776
Narella hawaiinensis	YP_009115594
Sebastes owstoni	YP_009115583
Phoebastria albatrus	YP_009115569
Phoebastria immutabilis	YP_009115555
Phoebastria nigripes	YP_009115541
Globicephala macrorhynchus	YP_007024880
Mobula eregoodootenkee	YP_009112436
Chelmon rostratus	YP_009112423
Mus spretus	YP_009112410
Curimata mivartii	YP_009112395
Ichthyoelephas longirostris	YP_009112382
Murina leucogaster	YP_009112371
Parasinilabeo assimilis	YP_009112345
Angaracris rhodopa	YP_009112331
Eucryptorrhynchus brandti	YP_009112318
Oedalechilus labiosus	YP_009112267
Takifugu flavidus x Takifugu rubripes	YP_009112241
Argyrosomus amoyensis	YP_009112215
Euthynnus affinis	YP_009112176
Eremias przewalskii	YP_009112085
Pyrrhocorax graculus	YP_009112019
Pyrrhocorax pyrrhocorax	YP_009112006
Ixobrychus sinensis	YP_009111992
Ixobrychus eurhythmus	YP_009111978
Botaurus stellaris	YP_009111964
Butorides striata	YP_009111950
Ardeola bacchus	YP_009111936
Egretta sacra	YP_009111922
Ardea purpurea	YP_009111909
Ardea intermedia	YP_009111896
Bubulcus ibis	YP_009111883
Ardea modesta	YP_009111870
Pyrgilauda davidiana	YP_009111857
Montifringilla taczanowskii	YP_009111844
Montifringilla adamsi	YP_009111831
Pyrgilauda blanfordi	YP_009111818
Montifringilla nivalis	YP_009111805
Samaris cristatus	YP_009111441
Lepus hainanus	YP_009111425
Clibanarius infraspinatus	YP_009110438
Mictyris longicarpus	YP_009093678
Chrysolampis mosquitus	YP_009110571
Gymnocephalus cernua	YP_009110558
Uroplatus fimbriatus	YP_009110479
Sphyrna zygaena	YP_009110466
Scapanulus oweni	YP_009110453
Caprimulgus indicus	YP_009110401
Choerodon schoenleinii	YP_009110305
Procypris mera	YP_009110292
Manis temminckii	YP_009110279
Aphelasterias japonica	YP_009110239
Hydrobasileus croceus	YP_009110134
Caenorhabditis tropicalis	YP_009110117
Lepus tolai	YP_009110007
Wiedomys cerradensis	YP_009109994
Akodon montensis	YP_009109981
Fringilla coelebs	YP_009107682
Andinoacara rivulatus	YP_009109536
Leopoldamys edwardsi	YP_009109523
Oreochromis niloticus x Oreochromis aureus	YP_009109510
Gloydius saxatilis	YP_009109348
Seriolella porosa	YP_009109335
Diptychus maculatus	YP_009108366
Chroicocephalus ridibundus	YP_009108353
Coregonus ussuriensis	YP_009108340
Ochetobius elongatus	YP_009108314
Cerion incanum	YP_009108299
Carangoides equula	YP_009108288
Elaphe davidi	YP_009108275
Phrynocephalus grumgrzimailoi	YP_009108203
Phrynocephalus helioscopus	YP_009108190
Vanellus vanellus	YP_009108165
Panopea globosa	YP_009108150
Panopea generosa	YP_009108137
Triplophysa robusta	YP_009108098
Platysmacheilus nudiventris	YP_009108085
Pseudonestor xanthophrys	YP_009108072
Oreomystis bairdi	YP_009108053
Spinus psaltria	YP_009108040
Pyrrhula pyrrhula	YP_009108020
Hemignathus stejnegeri	YP_009108007
Loxia curvirostra	YP_009107994
Hemignathus parvus	YP_009107981
Serinus dorsostriatus	YP_009107968
Vestiaria coccinea	YP_009107955
Cardinalis cardinalis	YP_009107929
Melamprosops phaeosoma	YP_009107916
Eremopsaltria mongolica	YP_009107903
Leucosticte arctoa	YP_009107890
Coccothraustes coccothraustes	YP_009107877
Haemorhous cassinii	YP_009107864
Loxops coccineus	YP_009107851
Passer domesticus	YP_009107838
Haemorhous mexicanus	YP_009107825
Pinicola enucleator	YP_009107812
Hemignathus flavus	YP_009107799
Carpodacus roseus	YP_009107786
Chlorophanes spiza	YP_009107773
Loxops caeruleirostris	YP_009107760
Leucosticte brandti	YP_009107747
Himatione sanguinea	YP_009107721
Paroreomyza montana	YP_009107708
Hesperiphona vespertina	YP_009107695
Loxops mana	YP_009107669
Carpodacus erythrinus	YP_009107656
Tangara episcopus	YP_009107643
Serinus albogularis	YP_009107630
Uragus sibiricus	YP_009107617
Amolops wuyiensis	YP_009107518
Ctenopharyngodon idellus x Elopichthys bambusa	YP_009107505
Hucho hucho	YP_009107492
Siganus vulpinus	YP_009107479
Callithrix jacchus	YP_009107453
Platydoras armatulus	YP_009107440
Hypostomus plecostomus	YP_009107427
Lampetra appendix	YP_009107412
Eudontomyzon morii	YP_009107399
Accipiter nisus	YP_009107375
Squatina nebulosa	YP_009107349
Cipangopaludina cathayensis	YP_009107335
Coregonus peled	YP_009107323
Pelophylax cretensis	YP_009107310
Myotis davidii	YP_009107214
Reticulitermes chinensis	YP_009107200
Alectis ciliaris	YP_009107188
Megalaspis cordyla	YP_009107175
Eulimnogammarus vittatus	YP_009107160
Bos mutus	YP_009107149
Garra imberba	YP_009107136
Gloydius intermedius	YP_009107110
Neomys fodiens	YP_009107097
Angaracris barabensis	YP_009107083
Larus crassirostris	YP_009107058
Oreochromis esculentus	YP_009107045
Ichthyomyzon unicuspis	YP_009106942
Ichthyomyzon fossor	YP_009106929
Callosciurus erythraeus	YP_009106905
Pirata subpiraticus	YP_009104748
Macrotermes natalensis	YP_009104735
Scolopax rusticola	YP_009104723
Thunnus atlanticus	YP_009104695
Damithrax spinosissimus	YP_009104682
Plectorhinchus lineatus	YP_009104671
Mustela erminea	YP_009104658
Tanakia limbata	YP_009104645
Vanellus cinereus	YP_009104632
Macaca fuscata	YP_009104619
Narcine entemedor	YP_009104606
Camaena cicatricosa	YP_009104591
Mactra chinensis	YP_009104579
Porphyrio porphyrio	YP_009104556
Gallirallus philippensis	YP_009104543
Liposcelis paeta	YP_009104532
Liposcelis entomophila	YP_009104516
Lewinia muelleri	YP_009104505
Eulabeornis castaneoventris	YP_009104492
Fulica atra	YP_009104479
Heliornis fulica	YP_009104466
Raja pulchra	YP_009104453
Callitettix braconoides	YP_009104439
Callitettix biformis	YP_009104426
Aeneolamia contigua	YP_009104413
Lissemys scutata	YP_009104401
Solenosmilia variabilis	YP_009104315
Sillago asiatica	YP_009093905
Rasbora trilineata	YP_009093892
Poecillastra laminaris	YP_009093886
Marisa cornuarietis	YP_009093863
Cricetulus longicaudatus	YP_009093745
Squatina formosa	YP_009093719
Sorex tundrensis	YP_009093706
Rhodeus sericeus	YP_009093693
Homatula potanini	YP_009093628
Eremias vermiculata	YP_009093615
Discogobio yunnanensis	YP_009093602
Tetrastes sewerzowi	YP_009093589
Siniperca chuatsi x Siniperca knerii	YP_009093576
Lepus sinensis	YP_009093563
Hyla annectans	YP_009092858
Myotis brandtii	YP_009092845
Nibea coibor	YP_009092832
Eremias multiocellata	YP_009092652
Ptychobarbus kaznakovi	YP_009092639
Rhabdosargus sarba	YP_009092588
Xenophysogobio nudicorpa	YP_009092575
Sillago indica	YP_009092549
Viverricula indica	YP_009092523
Aphelenchoides besseyi	YP_009092396
Pterois volitans	YP_009092385
Orthogonalys pulchella	YP_009092375
Mus fragilicauda	YP_009092271
Nipponocypris koreanus	YP_009092258
Scutopus ventrolineatus	YP_009092230
Lasiopodomys mandarinus	YP_009092219
Neochauliodes fraternus	YP_009092205
Sorex cylindricauda	YP_009092156
Aquatica leii	YP_009092129
Elaphe taeniura	YP_009092117
Anthocharis bambusarum	YP_009092103
Aporia intercostata	YP_009092090
Mus cookii	YP_009092033
Mus cervicolor	YP_009092021
Mus caroli	YP_009092009
Sundasalanx sp. Chao Phraya	YP_005087610
Abidama producta	YP_004733173
Clupeonella cultriventris	YP_004222575
Wallacidia oculata	YP_003875454
Ardea cinerea	YP_009111384
Pseudoxya diminuta	YP_009110225
Perca flavescens	YP_007024802
Homo sapiens	YP_003024028
Siniperca scherzeri x Siniperca chuatsi	YP_009058801
Siniperca chuatsi x Siniperca scherzeri	YP_009058762
Aeolesthes oenochrous	YP_009073570
Cottus czerskii	YP_009073558
Lernaea cyprinacea	YP_009073495
Rugosa tientaiensis	YP_009072517
Channa asiatica	YP_009072504
Oxyopes sertatus	YP_009072490
Pardosa laura	YP_009072477
Macaca tonkeana	YP_009072465
Macaca silenus	YP_009072452
Macaca arctoides	YP_009072412
Zebrias zebrinus	YP_009072305
Piaractus mesopotamicus	YP_009059625
Sinanodonta woodiana	YP_009059669
Mustela nigripes	YP_009059651
Salminus brasiliensis	YP_009059638
Prochilodus lineatus	YP_009059612
Brycon orbignyanus	YP_009059599
Zapteryx exasperata	YP_009059586
Mastigeulota kiangsinensis	YP_009059485
Acrossocheilus stenotaeniatus	YP_009059474
Chlorocebus cynosuros	YP_009059461
Philometroides sanguineus	YP_009059442
Anadara sativa	YP_009059156
Heteromycteris japonicus	YP_009059080
Rhodeus lighti	YP_009058878
Parascaris univalens	YP_009058864
Brachidontes exustus	YP_009058838
Siganus canaliculatus	YP_009058827
Schizopygopsis malacanthus	YP_009058814
Phrynocephalus guinanensis	YP_009058749
Tetranychus truncatus	YP_009058734
Malurus melanocephalus	YP_009058723
Turdus migratorius	YP_009058710
Tregellasia leucops	YP_009058697
Sitta carolinensis	YP_009058684
Vireo olivaceus	YP_009058671
Oedistoma iliolophus	YP_009058619
Sus celebensis	YP_009058530
Cheilodactylus zonatus	YP_009058504
Cirrhitichthys aprinus	YP_009058491
Bidyanus bidyanus	YP_009058452
Tilodon sexfasciatum	YP_009058439
Howella brodiei	YP_009058426
Nannoperca variegata	YP_009058413
Percalates novemaculeata	YP_009058400
Macquaria ambigua	YP_009058387
Gadopsis bispinosus	YP_009058374
Bostockia porosa	YP_009058361
Percilia irwini	YP_009058348
Acrossocheilus kreyenbergii	YP_009058299
Quasipaa yei	YP_009058286
Premnas biaculeatus	YP_009058273
Amphiprion perideraion	YP_009058260
Amphiprion frenatus	YP_009058247
Empoasca vitis	YP_009058220
Gnathopogon polytaenia	YP_009058208
Saurida umeyoshii	YP_009058195
Petenia splendida	YP_009058182
Elopichthys bambusa	YP_009058169
Schizothorax pseudoaksaiensis	YP_009058156
Nemertopsis tetraclitophila	YP_009057609
Gononemertes parasita	YP_009057596
Passer montanus	YP_009057578
Netta rufina	YP_009059093
Platysmacheilus exiguus	YP_009033399
Leptobotia microphthalma	YP_009027460
Contracaecum osculatum	YP_009027241
Oesophagostomum columbianum	YP_009024230
Oesophagostomum asperum	YP_009024218
Hemicentrotus pulcherrimus	YP_009019260
Alburnus tarichi	YP_007024841
Alburnus istanbulensis	YP_007024828
Strombus gigas	YP_009059446
Microphysogobio fukiensis	YP_009059423
Cervaphis quercus	YP_009059143
Emberiza rutila	YP_009059132
Schoeniclus rusticus	YP_009059119
Neocaridina denticulata	YP_009020593
Loxechinus albus	YP_009019247
Sus verrucosus	YP_009003922
Nectogale elegans	YP_008999764
Siniperca obscura	YP_007890921
Chirostoma humboldtianum	YP_009058853
Poecile atricapilla	YP_009058645
Regulus calendula	YP_009058632
Carcharhinus macloti	YP_009058580
Romanogobio tenuicorpus	YP_008854674
Parabramis pekinensis	YP_008757649
Protobothrops dabieshanensis	YP_008593303
Acrossocheilus monticola	YP_008474728
Acipenser schrenckii	YP_008239035
Tor putitora	YP_008239009
Pachygrapsus crassipes	YP_008238994
Palinurellus wieneckii	YP_008238981
Pangasianodon hypophthalmus	YP_008238970
Mustela altaica	YP_008238957
Martes martes	YP_008238922
Parahucho perryi	YP_008146184
Psenes pellucidus	YP_008144923
Spinibarbus denticulatus	YP_008144664
Heterodontus zebra	YP_008144651
Cromileptes altivelis	YP_008144638
Epinephelus trimaculatus	YP_008144612
Rhizomys pruinosus	YP_008083588
Onychostoma alticorpus	YP_008083507
Epinephelus epistictus	YP_008082936
Psenopsis anomala	YP_008082910
Microphysogobio alticorpus	YP_008082662
Epinephelus quoyanus	YP_008082649
Schizothorax richardsonii	YP_008082549
Schoeniclus spodocephala	YP_008082510
Alopias superciliosus	YP_008082484
Megachasma pelagios	YP_008082471
Hyattella sinuosa	YP_008081231
Pseudobagrus truncatus	YP_008080864
Pseudobagrus brevicaudatus	YP_008080838
Cephalopholis boenak	YP_007890896
Phyllodactylus unctus	YP_007317547
Carassius auratus ssp. 'Pingxiang'	YP_004237285
Papio anubis	YP_007316885
Uropsilus sp. 1 FT-2014	YP_006702487
Paragyrodactylus variegatus	YP_009054578
Macropodus ocellatus	YP_009054559
Anabas testudineus	YP_009054546
Tadorna tadorna	YP_009054521
Chanodichthys erythropterus	YP_009054508
Sylvirana guentheri	YP_009054495
Pterois miles	YP_009054398
Elaphe bimaculata	YP_009054359
Cottus dzungaricus	YP_009054307
Mya arenaria	YP_009054293
Paraneetroplus synspilus x Amphilophus citrinellus	YP_009054282
Mytilus coruscus	YP_009054031
Pycnonotus melanicterus	YP_009053848
Metzia longinasus	YP_009053835
Abrornis inornata	YP_009053725
Sitobion avenae	YP_009051637
Mionectes oleagineus	YP_009051625
Psoroptes cuniculi	YP_009051465
Brachymystax tumensis	YP_009051454
Henicorhina leucosticta	YP_009051441
Glyptothorax sinensis	YP_009051428
Turbinaria peltata	YP_009051425
Tetrastemma olgarum	YP_009051407
Chelodina longicollis	YP_009051219
Zootermopsis nevadensis	YP_009050555
Parafilaroides normani	YP_009050529
Phrynocephalus versicolor	YP_009050481
Ridgeia piscesae	YP_009050472
Monochamus alternatus	YP_009050454
Paraglypturus tonganus (nomen nudum)	YP_009050440
Lobocla bifasciata	YP_009050415
Culter alburnus x Ancherythroculter nigrocauda	YP_009050364
Nematodirus oiratianus	YP_009050223
Nematodirus spathiger	YP_009050211
Sancassania berlesei	YP_009050190
Ladislavia taczanowskii	YP_009050091
Charybdis feriata	YP_009050063
Anas acuta	YP_009050052
Cheracebus lugens	YP_009050039
Chiropotes israelita	YP_009050026
Callimico goeldii	YP_009050013
Megalobrama amblycephala x Ancherythroculter nigrocauda	YP_009049563
Schizothorax chongi	YP_009049537
Colinus virginianus	YP_009049524
Caloperdix oculeus	YP_009049511
Crax rubra	YP_009049498
Crax daubentoni	YP_009049485
Ptilopachus petrosus	YP_009049472
Phrynocephalus putjatai	YP_009049372
Triplophysa siluroides	YP_009049359
Solea ovata	YP_009049346
Lepturichthys fimbriata	YP_009049333
Corvus splendens	YP_009049237
Jinshaia abbreviata	YP_009049224
Suncus murinus	YP_009049198
Odorrana margaretae	YP_009049185
Aythya ferina	YP_009049172
Achatina fulica	YP_009049157
Pavoraja nitida	YP_009049133
Jinshaia sinensis	YP_009049120
Triplophysa anterodorsalis	YP_009049107
Carcharhinus plumbeus	YP_009049094
Aythya fuligula	YP_009049081
Tachybaptus ruficollis	YP_009049068
Amaurornis phoenicurus	YP_009049055
Cricetulus kamensis	YP_009049042
Taenia crocutae	YP_009049037
Taenia arctos	YP_009049025
Taenia regis	YP_009049013
Pseudogyrinocheilus prochilus	YP_009048993
Plectorhinchus cinctus	YP_009048980
Pomacea canaliculata	YP_009048965
Salvelinus curilus	YP_009048954
Aphis gossypii	YP_009048913
Platax teira	YP_009048902
Discogobio tetrabarbatus	YP_009048863
Paratrioza sinica	YP_009048849
Plestiodon elegans	YP_009048837
Dupetor flavicollis	YP_009048824
Xenophysogobio boulengeri	YP_009048811
Lutjanus johnii	YP_009048788
Pteroplatytrygon violacea	YP_009048759
Prionodon pardicolor	YP_009048746
Genetta servalina	YP_009048733
Nandinia binotata	YP_009048720
Tanakia lanceolata	YP_009048707
Anourosorex squamipes	YP_009048668
Haliotis laevigata	YP_009048662
Squalidus gracilis	YP_009048642
Lycodon rufozonatus	YP_009048543
Vespertilio sinensis	YP_009048530
Aprasia parapulchella	YP_009048517
Decapterus maruadsi	YP_009048504
Lyrurus tetrix	YP_009048463
Garrulax cineraceus	YP_009048450
Turdus hortulorum	YP_009048437
Sebastes oblongus	YP_009048398
Rana kunyuensis	YP_009048386
Microhyla pulchra	YP_009048372
Euprepiophis perlacea	YP_009048359
Rhinogobio cylindricus	YP_009047900
Paradoxornis webbianus	YP_009047887
Myodes glareolus	YP_009047874
Ptychobarbus dipogon	YP_009047861
Hippocampus barbouri	YP_009047848
Sinogastromyzon sichangensis	YP_009047822
Pavo cristatus	YP_009047809
Liza haematocheila	YP_009047783
Hippocampus ingens	YP_009047770
Trachypithecus pileatus	YP_009047757
Leuciscus baicalensis	YP_009047744
Hemibarbus medius	YP_009047731
Striatobalanus amaryllis	YP_009047716
Amphibalanus amphitrite	YP_009047703
Emberiza cioides	YP_009047692
Crocodylus rhombifer	YP_009047281
Chlorella sorokiniana	YP_009049965
Katharina tunicata	COX1_10528
Glyphis glyphis	YP_008239355
Ilyoplax deschampsi	YP_007317571
Triops australiensis	YP_009045940
Thalamita crenata	YP_009045927
Myomenippe fornasinii	YP_009045913
Ashtoret lunaris	YP_009045887
Engaeus quadrimanus	YP_009045978
Engaeus sericatus	YP_009045965
Gadopsis marmoratus	YP_009045902
Pareuchiloglanis sinensis	YP_009045876
Siniperca undulata	YP_009045863
Siniperca roulei	YP_009045850
Coreoperca loona	YP_009045837
Paracanthobrama guichenoti	YP_009045824
Leptobrachium boringii	YP_009045686
Rhinogobio typus	YP_009045644
Megalobrama skolkovii	YP_009045631
Ptychidio jordani	YP_009041199
Aseraggodes kobensis	YP_009040768
Carcharhinus melanopterus	YP_009040755
Ceryle rudis	YP_009040703
Pseudobagrus emarginatus	YP_009040690
Hemibagrus wyckioides	YP_009040677
Chanodichthys recurviceps	YP_009040664
Squatina japonica	YP_009040651
Meloidogyne graminicola	YP_009040637
Barbonymus schwanefeldii	YP_009040626
Hemibagrus nemurus	YP_009040613
Nanorana taihangnica	YP_009040600
Lamna ditropis	YP_009040561
Peirates arcuatus	YP_009040484
Samariscus latus	YP_009040475
Lepus coreanus	YP_009040273
Pericrocotus ethologus	YP_009040175
Pristiophorus japonicus	YP_009029976
Lepus americanus	YP_009027383
Lepus granatensis	YP_009027370
Lepus townsendii	YP_009027357
Lepus timidus	YP_009027344
Apolygus lucorum	YP_008963274
Diabrotica barberi	YP_008854773
Nesidiocoris tenuis	YP_008757635
Brachyrhynchus hsiaoi	YP_008757544
Ficedula albicollis	YP_008144959
Sirthenea flavipes	YP_007374652
Repomucenus curvicornis	YP_006666371
Marmota himalayana	YP_006576323
Nemichthys scolopaceus	YP_003345244
Lithodes nintokuae	YP_009034573
Takifugu flavidus	YP_009034533
Hoplolatilus cuniculus	YP_009034507
Synchiropus splendidus	YP_009034481
Callionymus enneactis	YP_009034468
Neosynchiropus moyeri	YP_009034455
Parupeneus multifasciatus	YP_009034442
Phycodurus eques	YP_009034429
Fistularia petimba	YP_009034416
Dactyloptena orientalis	YP_009034403
Mulloidichthys vanicolensis	YP_009034390
Doryrhamphus japonicus	YP_009034377
Solenostomus paradoxus	YP_009034364
Draconetta xenica	YP_009034351
Trachinotus carolinus	YP_009034338
Porites panamensis	YP_009034322
Junceella fragilis	YP_009034303
Amolops mantzorum	YP_009034285
Atractosteus tropicus	YP_009034259
Mesocentrotus franciscanus	YP_009034246
Sypharochiton pelliserpentis	YP_009034063
Sypharochiton sinclairi	YP_009034050
Chrysocyon brachyurus	YP_009034039
Hypsiglena unaocularus	YP_009033412
Congriscus sp. Tht2	YP_003345218
Culter alburnus	YP_003345192
Leptocephalus sp. 'type II larva' (Smith, 1989)	YP_003345179
Muraenesox bagio	YP_003345166
Anarchias sp. Ansp	YP_003345153
Monognathus jesperseni	YP_003345138
Derichthys serpentinus	YP_003345127
Rhinomuraena quaesita	YP_003345114
Cyema atrum	YP_003345101
Nessorhamphus ingolfianus	YP_003345088
Kaupichthys hyoproroides	YP_003345075
Coloconger cadenati	YP_003345062
Simenchelys parasitica	YP_003345049
Moringua microchir	YP_003345010
Pythonichthys microphthalmus	YP_003344997
Poecilia reticulata	YP_009037664
Folsomotoma octooculata	YP_009032772
Protosalanx hyalocranius	YP_009029963
Grammistes sexlineatus	YP_009029950
Botrylloides leachii	YP_009029811
Gymnura poecilura	YP_009029800
Isurus paucus	YP_009029787
Cephalopholis sexmaculata	YP_009029774
Astreopora myriophthalma	YP_009029645
Isopora palifera	YP_009029632
Astreopora explanata	YP_009029619
Isopora togianensis	YP_009029606
Siganus guttatus	YP_009029583
Aquila chrysaetos	YP_009029572
Siganus puellus	YP_009029557
Jacana jacana	YP_009028546
Mogurnda adspersa	YP_009027843
Bemisia afer	YP_009027745
Carcharhinus acronotus	YP_009027734
Limnoria quadripunctata	YP_009027719
Tarsius wallacei	YP_009027708
Tarsius dentatus	YP_009027695
Tarsius lariang	YP_009027682
Fringilla montifringilla	YP_009027447
Jacana spinosa	YP_009028533
Squalus acanthias	NP_008525
Cherax cainii	YP_008854785
Lumbricus terrestris	COX1_10599
Equus burchellii chapmani	YP_006883565
Cecropis daurica	YP_009029937
Equus ovodovi	YP_006883591
Equus hemionus kulan	YP_006883578
Equus zebra hartmannae	YP_006883552
Trionyx triunguis	YP_002970905
Dipturus kwangtungensis	YP_009003421
Pandarus rhincodonicus	YP_009027420
Pampus chinensis	YP_009027396
Epinephelus tukula	YP_009027331
Kamimuria wangi	YP_009027003
Equus przewalskii	YP_009026974
Leptomantella albella	YP_009026947
Trachinotus blochii	YP_009026849
Fasciola gigantica	YP_009026843
Rhigonema thysanophora	YP_009026495
Selar crumenophthalmus	YP_009024636
Whitmania laevis	YP_009024132
Poecilobdella manillensis	YP_009024119
Pangasius pangasius	YP_009024108
Clarias batrachus	YP_009024095
Petaurista alborufus	YP_009024082
Kingdonella bicollina	YP_009024055
Amaurornis akool	YP_009025141
Egretta garzetta	YP_009025128
Saurida microlepis	YP_009025115
Schizopyge dolichonema	YP_009025102
Mastacembelus armatus	YP_009025076
Hemibagrus guttatus	YP_009025063
Belligobio nummifer	YP_009025050
Pardachirus pavoninus	YP_009025037
Pseudaesopia japonica	YP_009025024
Nemipterus japonicus	YP_009025011
Trachypithecus cristatus	YP_009024998
Trachypithecus francoisi	YP_009024985
Aix galericulata	YP_009024972
Carangoides malabaricus	YP_009024959
